"Disorder","Brain Region","Volume Beta Coefficient","Holm--Bonferroni p-value"
"BP","Left-Amygdala",0.0724841660802238,"1.00"
"BP","Left-Accumbens-area",0.0357142857142844,"1.00"
"BP","Right-Thalamus-Proper",-3.54169598874032,"1.00"
"BP","Right-Caudate",-3.48557353976073,"1.00"
"BP","Right-Putamen",-0.950738916256147,"1.00"
"BP","Right-Pallidum",-0.935960591133006,"1.00"
"BP","Right-Hippocampus",0.194405348346235,"1.00"
"BP","Right-Amygdala",-0.335679099225891,"1.00"
"BP","Right-Accumbens-area",0.313687543983111,"1.00"
"BP","ctx-lh-caudalanteriorcingulate",-2.32828993666431,"1.00"
"BP","ctx-lh-caudalmiddlefrontal",-9.30489092188599,"1.00"
"BP","ctx-lh-cuneus",3.23539760731879,"1.00"
"BP","ctx-lh-entorhinal",-1.39197748064743,"1.00"
"BP","ctx-lh-fusiform",3.85925404644615,"1.00"
"BP","ctx-lh-inferiorparietal",-4.57230823363827,"1.00"
"BP","ctx-lh-inferiortemporal",-6.26319493314566,"1.00"
"BP","ctx-lh-isthmuscingulate",-1.69071076706545,"1.00"
"BP","ctx-lh-lateraloccipital",-0.687895847994357,"1.00"
"BP","ctx-lh-lateralorbitofrontal",-9.52093596059115,"0.30"
"BP","ctx-lh-lingual",-16.573011963406,"0.04"
"BP","ctx-lh-medialorbitofrontal",-2.93490499648134,"1.00"
"BP","ctx-lh-middletemporal",-6.09113300492605,"1.00"
"BP","ctx-lh-parahippocampal",2.3286418015482,"1.00"
"BP","ctx-lh-paracentral",-2.01600985221675,"1.00"
"BP","ctx-lh-parsopercularis",1.76565798733287,"1.00"
"BP","ctx-lh-parsorbitalis",-3.09975369458128,"1.00"
"BP","ctx-lh-parstriangularis",-8.8581984517945,"1.00"
"BP","ctx-lh-pericalcarine",-2.51530612244897,"1.00"
"BP","ctx-lh-postcentral",-8.85415200562985,"1.00"
"BP","ctx-lh-posteriorcingulate",-2.04028852920479,"1.00"
"BP","ctx-lh-precentral",-11.3580225193526,"1.00"
"BP","ctx-lh-precuneus",-6.28659394792399,"1.00"
"BP","ctx-lh-rostralanteriorcingulate",0.793279380717792,"1.00"
"BP","ctx-lh-rostralmiddlefrontal",-7.25950035186491,"1.00"
"BP","ctx-lh-superiorfrontal",-13.1690710767065,"1.00"
"BP","ctx-lh-superiorparietal",-11.0726600985222,"1.00"
"BP","ctx-lh-superiortemporal",-13.5466220971147,"1.00"
"BP","ctx-lh-supramarginal",-16.8773750879662,"1.00"
"BP","ctx-lh-transversetemporal",-1.71692470091485,"1.00"
"BP","ctx-lh-insula",-0.586734693877537,"1.00"
"BP","ctx-rh-caudalanteriorcingulate",-7.03923293455311,"0.78"
"BP","ctx-rh-caudalmiddlefrontal",2.12807881773399,"1.00"
"BP","ctx-rh-cuneus",-3.34289232934554,"1.00"
"BP","ctx-rh-entorhinal",0.579873328641804,"1.00"
"BP","ctx-rh-fusiform",-4.8831808585503,"1.00"
"BP","ctx-rh-inferiorparietal",9.0415200562984,"1.00"
"BP","ctx-rh-inferiortemporal",4.84042927515836,"1.00"
"BP","ctx-rh-isthmuscingulate",-0.272167487684725,"1.00"
"BP","ctx-rh-lateraloccipital",-8.96780436312453,"1.00"
"BP","ctx-rh-lateralorbitofrontal",-5.70742434904995,"1.00"
"BP","ctx-rh-lingual",-11.3332160450387,"0.71"
"BP","ctx-rh-medialorbitofrontal",-7.97149894440533,"0.63"
"BP","ctx-rh-middletemporal",-16.9090429275158,"0.63"
"BP","ctx-rh-parahippocampal",1.55190007037298,"1.00"
"BP","ctx-rh-paracentral",-1.03219563687542,"1.00"
"BP","ctx-rh-parsopercularis",-3.50879662209711,"1.00"
"BP","ctx-rh-parsorbitalis",-1.74912033779028,"1.00"
"BP","ctx-rh-parstriangularis",-11.0103800140746,"0.12"
"BP","ctx-rh-pericalcarine",-2.61963406052076,"1.00"
"BP","ctx-rh-postcentral",-11.4011259676284,"1.00"
"BP","ctx-rh-posteriorcingulate",-3.57318789584799,"1.00"
"BP","ctx-rh-precentral",-3.3145672061928,"1.00"
"BP","ctx-rh-precuneus",-5.97660098522167,"1.00"
"BP","ctx-rh-rostralanteriorcingulate",-6.58004926108373,"1.00"
"BP","ctx-rh-rostralmiddlefrontal",-23.0114356087262,"0.20"
"BP","ctx-rh-superiorfrontal",-6.14444053483455,"1.00"
"BP","ctx-rh-superiorparietal",-9.34306826178746,"1.00"
"BP","ctx-rh-superiortemporal",-3.40957072484166,"1.00"
"BP","ctx-rh-supramarginal",-16.551900070373,"0.75"
"BP","ctx-rh-transversetemporal",-1.2566854327938,"1.00"
"BP","ctx-rh-insula",-0.402357494722026,"1.00"
"ADHD","Left-Thalamus-Proper",-3.48872679045094,"1"
"ADHD","Left-Caudate",-4.11803713527853,"1"
"ADHD","Left-Putamen",-1.08465959328029,"1"
"ADHD","Left-Pallidum",0.872679045092844,"1"
"ADHD","Left-Hippocampus",-0.676392572944305,"1"
"ADHD","Left-Amygdala",0.0327144120247592,"1"
"ADHD","Left-Accumbens-area",-0.455128205128206,"1"
"ADHD","Right-Thalamus-Proper",-2.41401414677276,"1"
"ADHD","Right-Caudate",-1.38196286472149,"1"
"ADHD","Right-Putamen",-2.76392572944297,"1"
"ADHD","Right-Pallidum",0.899204244031829,"1"
"ADHD","Right-Hippocampus",-1.66954022988506,"1"
"ADHD","Right-Amygdala",-0.198054818744476,"1"
"ADHD","Right-Accumbens-area",-0.421529619805482,"1"
"ADHD","ctx-lh-caudalanteriorcingulate",-2.16136162687887,"1"
"ADHD","ctx-lh-caudalmiddlefrontal",-7.41268788682584,"1"
"ADHD","ctx-lh-cuneus",3.53890362511053,"1"
"ADHD","ctx-lh-entorhinal",-4.74624226348365,"1"
"ADHD","ctx-lh-fusiform",-2.06277630415563,"1"
"ADHD","ctx-lh-inferiorparietal",-8.4011936339523,"1"
"ADHD","ctx-lh-inferiortemporal",-11.5499557913351,"1"
