Iteration,Average Accuracy
0.0,49.78508414634147
1.0,50.773234878048775
2.0,49.95101390243903
3.0,49.755367317073166
4.0,49.63957414634146
5.0,50.010005365853665
6.0,49.567178292682925
7.0,49.82073756097561
8.0,50.59651268292683
9.0,50.56983853658536
10.0,49.49184341463414
11.0,50.64573414634147
12.0,49.85529414634146
13.0,49.62331756097561
14.0,49.77140536585366
15.0,50.48891756097561
16.0,50.584165365853664
17.0,49.437870975609755
18.0,49.96536243902439
19.0,50.24817829268293
20.0,50.29613975609756
21.0,49.85391463414634
22.0,50.6766868292683
23.0,50.585731219512205
24.0,49.83748121951219
25.0,50.76989585365854
26.0,49.526890243902436
27.0,50.27861097560975
28.0,49.78779073170731
29.0,49.93284146341464
30.0,49.96337853658537
31.0,50.17485756097561
32.0,49.69638975609757
33.0,49.60512829268293
34.0,50.05608731707317
35.0,50.502453170731705
36.0,50.14035682926829
37.0,50.70853097560976
38.0,49.966893658536584
39.0,49.5187143902439
40.0,50.0769
41.0,49.665245121951216
42.0,49.29584853658537
43.0,49.71746926829268
44.0,49.84492048780488
45.0,49.696221219512196
46.0,50.012498048780486
47.0,48.85966634146342
48.0,49.5769256097561
49.0,50.40225902439025
50.0,49.79841902439024
51.0,49.59146780487806
52.0,50.284549268292686
53.0,49.988118048780485
54.0,49.7726368292683
55.0,49.72555170731707
56.0,50.561289512195124
57.0,50.41609829268293
58.0,50.21069024390244
59.0,49.78029585365854
60.0,49.91816707317073
61.0,49.78842975609757
62.0,50.48171243902439
63.0,50.20324609756098
64.0,50.36732146341463
65.0,49.52181731707317
66.0,50.43465048780488
67.0,49.64248634146341
68.0,49.6583143902439
69.0,49.05787878048781
70.0,50.0760056097561
71.0,50.17376390243902
72.0,50.39489707317073
73.0,50.047985365853656
74.0,49.94068658536585
75.0,50.10846780487804
76.0,48.95381975609756
77.0,50.51421658536585
78.0,49.542334634146336
79.0,49.99916853658537
80.0,49.82919926829268
81.0,50.05380317073171
82.0,49.93601268292682
83.0,50.49958390243902
84.0,49.945914146341465
85.0,49.84725268292683
86.0,49.92048439024389
87.0,50.25737146341464
88.0,50.39832463414634
89.0,50.57936048780488
90.0,49.98968219512195
91.0,49.72059975609756
92.0,49.722521219512196
93.0,51.00631463414635
94.0,50.58323804878048
95.0,50.391186829268285
96.0,50.249942439024395
97.0,49.457940487804876
98.0,49.70194292682927
99.0,49.76525292682926
100.0,50.70323073170731
101.0,49.63614024390244
102.0,49.6478343902439
103.0,50.253413902439014
104.0,50.15889560975609
105.0,49.70538390243903
106.0,50.055571951219505
107.0,49.38513682926829
108.0,50.15085756097561
109.0,49.92849585365854
110.0,50.41727682926829
111.0,49.618545121951215
112.0,49.934994878048784
113.0,49.466451219512194
114.0,49.52228487804879
115.0,49.78248170731707
116.0,49.76916634146342
117.0,50.51005121951219
118.0,50.126132195121954
119.0,49.57358292682927
120.0,50.23292487804878
121.0,50.19597024390244
122.0,49.48269975609757
123.0,50.17112365853659
124.0,49.759392926829264
125.0,49.737513658536585
126.0,50.1154643902439
127.0,49.84995146341464
128.0,50.04172414634146
129.0,49.149651463414635
130.0,49.795455365853655
131.0,50.38206487804878
132.0,49.239453902439024
133.0,50.29893097560975
134.0,50.81340463414634
135.0,49.86905317073171
136.0,49.71189317073171
137.0,49.91511463414634
138.0,50.32642439024389
139.0,50.89274975609756
140.0,49.176011951219515
141.0,49.81035195121951
142.0,50.08994243902439
143.0,49.56009487804878
144.0,50.21066536585366
145.0,50.643728048780495
146.0,50.25716926829269
147.0,51.071667560975605
148.0,49.94896439024391
149.0,50.518813902439035
150.0,50.60340707317073
151.0,49.832624634146335
152.0,50.37883609756097
153.0,50.09083463414634
154.0,49.94279024390244
155.0,49.795901219512196
156.0,50.80998658536586
157.0,50.33108268292683
158.0,49.99728024390244
159.0,50.5679419512195
160.0,49.87362170731707
161.0,49.576097560975604
162.0,49.237037317073174
163.0,49.98545560975611
164.0,49.86640780487805
165.0,49.58435024390244
166.0,49.285955609756094
167.0,50.125834634146344
168.0,50.400546829268286
169.0,50.10443365853658
170.0,50.001454146341466
171.0,50.79597390243903
172.0,48.887269268292684
173.0,50.34650756097561
174.0,49.66825097560976
175.0,49.853186585365854
176.0,49.31080292682927
177.0,50.03796609756097
178.0,50.21161121951219
179.0,49.73697853658537
180.0,49.851652439024384
181.0,49.48772780487805
182.0,49.94285195121951
183.0,51.06521585365853
184.0,49.73594097560975
185.0,49.35094585365854
186.0,49.71387414634146
187.0,50.177151951219514
188.0,49.63382609756098
189.0,49.41771975609756
190.0,50.75889365853658
191.0,49.65190463414634
192.0,49.554162195121954
193.0,50.336003902439025
194.0,50.3178819512195
195.0,50.901158048780495
196.0,50.07262853658536
197.0,49.1931112195122
198.0,50.70263975609756
199.0,49.55967219512196
200.0,50.631189512195114
201.0,49.35085902439024
202.0,48.95518024390244
203.0,50.13789512195122
204.0,49.53614926829268
205.0,50.056653902439024
206.0,49.87704634146342
207.0,51.15461195121951
208.0,50.17922926829268
209.0,50.01136731707317
210.0,49.57474219512195
211.0,50.468738292682936
212.0,50.04345585365853
213.0,49.38324170731707
214.0,50.66521463414634
215.0,50.02005853658537
216.0,49.858997804878044
217.0,50.07911292682927
218.0,50.24812658536585
219.0,49.0516612195122
220.0,50.77014585365854
221.0,49.563291219512195
222.0,50.2803968292683
223.0,49.14697097560976
224.0,50.36639902439024
225.0,49.48349902439025
226.0,49.669795853658535
227.0,50.005520000000004
228.0,49.577522926829275
229.0,50.475049999999996
230.0,49.628119999999996
231.0,49.598401951219515
232.0,50.28426999999999
233.0,50.197795121951216
234.0,49.80092487804879
235.0,51.08566902439025
236.0,50.16865146341463
237.0,48.607320243902436
238.0,49.985084146341464
239.0,49.46545439024389
240.0,50.29447902439025
241.0,49.433112439024384
242.0,50.008785609756096
243.0,51.01076048780489
244.0,50.317517317073175
245.0,50.66626048780488
246.0,49.65467487804877
247.0,50.130866829268285
248.0,50.65326243902439
249.0,48.98430365853659
250.0,50.2140087804878
251.0,49.27093097560976
252.0,49.89376341463414
253.0,49.88910682926829
254.0,49.561591219512195
255.0,50.312282926829276
256.0,51.1402868292683
257.0,50.44173292682927
258.0,49.51421024390244
259.0,49.736352439024394
260.0,50.338271219512194
261.0,50.152772195121955
262.0,49.33437219512195
263.0,49.93918414634146
264.0,50.16424682926829
265.0,50.45938804878049
266.0,49.36993073170732
267.0,49.97780878048781
268.0,50.21462268292682
269.0,49.8156524390244
270.0,50.825951951219515
271.0,50.43779097560975
272.0,50.12947073170732
273.0,49.786858780487805
274.0,49.90509707317073
275.0,49.587891463414635
276.0,49.79464048780488
277.0,50.62751609756098
278.0,50.43276317073172
279.0,49.482215609756096
280.0,50.73022365853657
281.0,49.38753951219512
282.0,49.870522439024384
283.0,49.82540487804878
284.0,50.22758219512195
285.0,50.05602463414633
286.0,50.12927878048781
287.0,50.1076156097561
288.0,49.93740268292683
289.0,49.27715878048781
290.0,50.5932487804878
291.0,49.55555048780488
292.0,49.66795048780487
293.0,49.79676487804878
294.0,49.442650731707324
295.0,50.319532682926834
296.0,49.879844634146345
297.0,50.00365121951219
298.0,49.73926512195122
299.0,49.83489097560976
300.0,49.405860975609755
301.0,50.04677780487804
302.0,49.969711951219516
303.0,48.918397560975606
304.0,49.69696390243903
305.0,48.943020731707314
