% Accuracy,Feat Error
48.611580000000004,8.46295353311124
61.20374,8.565357401323077
48.11674000000001,8.57681619089508
58.71174,9.160822363325249
48.33202,7.831506963516026
54.15288,8.499240937024906
50.300520000000006,8.509703903755995
50.13002,8.323511818913937
54.566159999999996,8.469541856228117
56.9214,8.716662046907636
55.9892,8.866719966255841
60.22656,8.357382494920286
46.7199,8.407270055731528
51.27366000000001,8.550538673346844
55.80104,8.535122665691455
55.467760000000006,9.219524509561218
57.16016,8.789226904250453
51.29897999999999,8.515678784430516
47.09536,8.544240707657995
48.3895,8.327706764169834
55.73574000000001,8.376892935474347
53.372279999999996,8.517163659434988
