Feature,Accuracy,Feat Error
4,58.455,10.575817935271013
3,57.294,10.256190520851298
5,56.69100000000001,11.30554859350045
1,56.628,11.628644632974213
17,55.839999999999996,9.293094210218682
21,55.725,9.110393240689449
11,55.49499999999999,9.634925272154426
14,54.847,9.835078088149581
22,54.538,10.901239195614414
20,54.525999999999996,8.565356034631602
16,54.212,9.445021757518616
15,53.801,14.33129892926667
18,52.19100000000001,8.950340161133541
2,52.05800000000001,11.969631406187911
12,51.428,8.77051172965409
6,51.346000000000004,9.786334553856209
9,50.07000000000001,10.938684564425468
8,49.93,11.671320405164105
13,49.77,10.882896673220785
19,48.738,8.570883035020369
10,46.386,9.424996763925174
7,41.565000000000005,7.459397093599455
