% Accuracy,Feat Error
58.03002000000001,8.88955716555105
55.12257999999999,8.249292135910816
55.58275999999999,9.174638869317963
56.02438000000001,8.545279809087589
47.88178,8.165396661007962
45.408199999999994,8.505188578744155
51.2895,8.78633780081326
53.03944,8.864735533923165
47.8795,8.158436611876075
57.40996,8.952968602558595
55.9465,8.30586380516801
46.91544,8.479300561154794
55.065380000000005,9.125767126965274
57.12836,8.569475836385793
54.56578,8.875214002580446
52.32154,8.545481345623546
58.92178,9.097135166171821
54.59932,9.127405432958481
56.22764,8.788140214539139
53.25386,7.9091469894293915
57.1419,7.838497368118459
60.72516,8.10558647936101
