Iteration,Average Accuracy
0.0,49.3429
1.0,50.962399999999995
2.0,53.31844
3.0,52.83526
4.0,56.07364
5.0,49.07054
6.0,50.0538
7.0,52.750600000000006
8.0,45.492960000000004
9.0,53.77764
10.0,48.222060000000006
11.0,52.426199999999994
12.0,52.6217
13.0,51.94016
14.0,53.650800000000004
15.0,51.31192
16.0,56.01658
17.0,48.222899999999996
18.0,47.675419999999995
19.0,49.97944
20.0,49.54958
21.0,46.90332
22.0,52.146480000000004
23.0,47.33122
24.0,48.92766
25.0,47.426199999999994
26.0,50.10478
27.0,47.54158
28.0,48.0443
29.0,49.27438
30.0,48.77282
31.0,49.34253999999999
32.0,49.34182
33.0,51.0449
34.0,49.88267999999999
35.0,51.097660000000005
36.0,48.079899999999995
37.0,51.546079999999996
38.0,50.831979999999994
39.0,50.345099999999995
40.0,49.592800000000004
41.0,50.90352000000001
42.0,49.16358
43.0,49.546
44.0,51.77368
45.0,49.007220000000004
46.0,48.96766
47.0,43.00753999999999
48.0,47.66217999999999
49.0,48.572520000000004
50.0,47.33178
51.0,48.830439999999996
52.0,51.82488
53.0,47.43956
54.0,51.05022
55.0,48.817879999999995
56.0,52.92174
57.0,53.55648
58.0,51.0313
59.0,45.72694
60.0,51.479980000000005
61.0,53.5105
62.0,46.92054000000001
63.0,46.630799999999994
64.0,50.404300000000006
65.0,50.867760000000004
66.0,49.04468
67.0,53.007279999999994
68.0,52.52002
69.0,48.66389999999999
70.0,46.063340000000004
71.0,48.620580000000004
72.0,49.11908
73.0,52.786339999999996
74.0,52.30988000000001
75.0,54.554660000000005
76.0,47.77852000000001
77.0,47.26632
78.0,53.350739999999995
79.0,48.07074000000001
80.0,51.16526
81.0,50.73758
82.0,49.553419999999996
83.0,48.995979999999996
84.0,50.08748
85.0,50.43088
86.0,51.1151
87.0,52.03804
88.0,53.18618
89.0,48.96546
90.0,49.708059999999996
91.0,53.90486
92.0,51.03468
93.0,48.41752
94.0,51.271699999999996
95.0,44.20582
96.0,53.109339999999996
97.0,48.13892
98.0,52.57842
99.0,47.15609999999999
100.0,49.30686
101.0,52.28794
102.0,47.83274
103.0,48.65134
104.0,50.458400000000005
105.0,52.09752
