,brain_region_1,value,SPI,brain_region_2
52,proc-52,0.1601105648258364,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-0
53,proc-53,0.14728539867488408,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-0
54,proc-54,0.12392209416067515,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-0
55,proc-55,0.10716604923479363,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-0
56,proc-56,0.10387457452189341,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-0
57,proc-57,0.08347787820247081,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-0
58,proc-58,0.11410776503543077,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-0
59,proc-59,0.12127931589835492,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-0
60,proc-60,0.14479057764888598,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-0
61,proc-61,0.05662076508723006,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-0
62,proc-62,0.157524521227528,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-0
63,proc-63,0.1426245233841566,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-0
64,proc-64,0.14171580775479575,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-0
65,proc-65,0.0835385878780356,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-0
66,proc-66,0.17979832995628212,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-0
67,proc-67,0.16506139018436317,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-0
68,proc-68,0.2041045631432783,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-0
69,proc-69,0.16352464505890632,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-0
70,proc-70,0.17988889925962284,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-0
