"Site_Number","Analysis","Model","Balanced Accuracy","SD"
20,"Brain_Region","Planum_Temporale",42,13.7
20,"Brain_Region","Postcentral_Gyrus",40.5,13.8
20,"Brain_Region","Precentral_Gyrus",38.5,13.9
20,"Brain_Region","Precuneous_Cortex",36.7,14.8
20,"Brain_Region","Subcallosal_Cortex",46.7,16
20,"Brain_Region","Superior_Frontal_Gyrus",41.1,14.4
20,"Brain_Region","Superior_Parietal_Lobule",49.7,13.8
20,"Brain_Region","Superior_Temporal_Gyrus_anterior_division",50.9,15.2
20,"Brain_Region","Superior_Temporal_Gyrus_posterior_division",42.2,15
20,"Brain_Region","Supracalcarine_Cortex",43,14.3
20,"Brain_Region","Supramarginal_Gyrus_anterior_division",52.7,17.4
20,"Brain_Region","Supramarginal_Gyrus_posterior_division",46.3,13.5
20,"Brain_Region","Temporal_Fusiform_Cortex_anterior_division",44.6,14.9
20,"Brain_Region","Temporal_Fusiform_Cortex_posterior_division",56.4,14.6
20,"Brain_Region","Temporal_Occipital_Fusiform_Cortex",49.5,12.9
20,"Brain_Region","Temporal_Pole",36.5,12.9
5,"SPI_Combo","anm",48.6,10.1
5,"SPI_Combo","bary_dtw_mean",53.1,13.5
5,"SPI_Combo","cohmag_multitaper_mean_fs-1_fmin-0_fmax-0-5",54,14.9
5,"SPI_Combo","coint_aeg_tstat_trend-ct_autolag-aic_maxlag-10",49.4,15.3
5,"SPI_Combo","cov_EmpiricalCovariance",52.6,15.9
5,"SPI_Combo","di_gaussian",54.8,17.5
5,"SPI_Combo","dtw_constraint-itakura",52.3,15.1
5,"SPI_Combo","pec",49.5,14.2
5,"SPI_Combo","phi_star_t-1_norm-0",54.3,14.5
5,"SPI_Combo","psi_multitaper_mean_fs-1_fmin-0_fmax-0-5",50.6,14.6
5,"SPI_Combo","psi_wavelet_mean_fs-1_fmin-0_fmax-0-5_mean",52.3,18.3
5,"SPI_Combo","sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5",51,13.5
5,"SPI_Combo","te_kraskov_NN-4_DCE_k-max-10_tau-max-4",53.6,13
20,"SPI_Combo","anm",50.6,15.4
20,"SPI_Combo","bary_dtw_mean",41.3,13.8
20,"SPI_Combo","cohmag_multitaper_mean_fs-1_fmin-0_fmax-0-5",58.2,15.8
20,"SPI_Combo","coint_aeg_tstat_trend-ct_autolag-aic_maxlag-10",48.6,13.7
20,"SPI_Combo","cov_EmpiricalCovariance",39.3,13.5
