Iteration,Average Accuracy
0.0,50.167149090909085
1.0,49.523213636363636
2.0,49.76370363636363
3.0,49.5979709090909
4.0,50.123915454545454
5.0,48.53944999999999
6.0,49.58365727272728
7.0,49.42381181818182
8.0,49.67027
9.0,50.28013181818182
10.0,50.00920727272728
11.0,51.023507272727265
12.0,49.3793990909091
13.0,50.07695545454544
14.0,50.57910727272727
15.0,49.07071727272727
16.0,49.09492818181818
17.0,51.502673636363646
18.0,50.39933727272728
19.0,49.69332
20.0,49.35567363636364
21.0,50.276039999999995
22.0,50.47245636363635
23.0,49.97461727272727
24.0,49.25887636363636
25.0,49.63960363636364
26.0,48.64890454545454
27.0,50.407013636363644
28.0,50.85126909090909
29.0,48.71910181818182
30.0,49.95318999999999
31.0,49.951629090909094
32.0,49.43431363636363
33.0,49.920271818181824
34.0,50.53378272727272
35.0,49.54956272727272
36.0,50.1784
37.0,50.138023636363634
38.0,51.57017454545455
39.0,50.40754272727273
40.0,50.82779363636364
41.0,51.03228000000001
42.0,50.280480000000004
43.0,49.75935
44.0,50.13221181818181
45.0,49.47188727272728
46.0,49.08976909090909
47.0,49.9394590909091
48.0,49.044692727272725
49.0,50.24412090909091
50.0,50.221342727272734
51.0,49.238283636363626
52.0,50.51762636363637
53.0,49.927937272727284
54.0,49.478427272727274
55.0,49.38133545454546
56.0,49.245693636363626
57.0,50.243226363636374
58.0,49.92348727272727
59.0,48.85228363636363
60.0,49.884025454545444
61.0,49.37412636363636
62.0,50.37411545454545
63.0,49.94866727272727
64.0,49.239433636363636
65.0,50.26662818181817
66.0,48.90673454545454
67.0,50.026040909090916
68.0,50.729020909090906
69.0,50.66219000000001
70.0,49.12966272727272
71.0,49.88337272727272
72.0,49.30242272727273
73.0,50.56586545454545
74.0,49.799854545454544
75.0,50.12463363636364
76.0,49.35427363636364
77.0,49.98347545454546
78.0,48.837149090909094
79.0,49.43001818181819
80.0,50.366378181818185
81.0,50.42330636363636
82.0,50.201225454545465
83.0,50.456813636363634
84.0,51.04625818181818
85.0,49.13097181818182
86.0,49.498099090909086
87.0,49.63802727272728
88.0,49.52158090909091
89.0,49.73129727272727
90.0,51.21823727272727
91.0,50.03880545454545
92.0,49.31821545454545
93.0,49.03289454545454
94.0,50.91909909090909
95.0,49.77898636363636
96.0,48.98108272727272
97.0,49.91120545454546
98.0,49.92163454545455
99.0,50.70927363636363
100.0,49.30513363636362
101.0,50.019724545454544
102.0,50.31647909090909
103.0,48.867203636363634
104.0,50.38087
105.0,50.30083909090908
106.0,50.80081818181818
107.0,50.76359272727273
108.0,49.7753390909091
109.0,49.586845454545454
110.0,50.834889999999994
111.0,50.63529090909091
112.0,49.46264999999999
113.0,49.25391545454545
114.0,50.1596409090909
115.0,50.29699
116.0,51.59572454545455
117.0,50.54369727272728
118.0,49.45058727272726
119.0,49.63916000000001
120.0,50.29284636363636
121.0,50.17260363636364
122.0,49.20594545454546
123.0,49.45076727272727
124.0,51.14522909090909
125.0,49.627069090909096
126.0,51.13121999999999
127.0,50.3144
128.0,49.02589727272727
129.0,50.1845209090909
130.0,49.14109545454546
131.0,51.21883636363637
132.0,49.548818181818184
133.0,50.39356545454545
134.0,50.64497727272728
135.0,50.70061727272727
136.0,50.372354545454556
137.0,51.39167727272727
138.0,50.39556818181818
139.0,50.254595454545466
140.0,49.47455636363637
141.0,50.23514454545455
142.0,49.71243181818182
143.0,50.158986363636366
144.0,51.82804000000001
145.0,50.27879818181818
146.0,49.18296272727273
147.0,49.659969999999994
148.0,50.401166363636364
149.0,50.124478181818176
150.0,49.412791818181816
151.0,48.08289454545454
152.0,49.98007454545454
153.0,49.63872363636364
154.0,49.46118909090908
155.0,50.45209818181817
156.0,50.100150909090914
157.0,50.78299363636365
158.0,50.3649190909091
159.0,51.00090818181818
160.0,51.94606909090908
161.0,50.17979181818182
162.0,49.345648181818184
163.0,50.426185454545454
164.0,50.57874181818181
165.0,49.84610454545455
166.0,49.738099090909095
167.0,50.98835181818183
168.0,49.93317181818181
169.0,49.76179909090908
170.0,49.446036363636374
171.0,50.38441
172.0,49.44702363636364
173.0,50.88228272727274
174.0,50.105154545454546
175.0,49.649663636363634
