% Accuracy,Feat Error
49.138940000000005,8.365952514591509
59.30346,8.848473734401882
52.57658,8.080462542676626
54.63139999999999,8.42998875681338
52.36068,8.346303489425722
52.26688000000001,9.090580018106655
51.03206000000001,8.23040910018451
50.89062,9.144903860380381
50.38046,8.69697294398459
60.16439999999999,9.030898861132263
58.813199999999995,8.869123122383634
57.87276000000001,9.081301998193872
55.06588000000001,8.67321480338173
56.47174,8.759558731602866
48.97786,8.665911193890693
55.11958,9.123499746456949
57.4473,8.626649367512279
50.96928,8.19052175881366
49.362,8.323787791624675
54.03714,7.992595724819315
57.48204,8.544117826809272
59.37846,8.994959156572085
