% Accuracy,ROI Error
61.10686,8.281856334204306
52.17636,8.1013643264823
50.84586,8.58388230699839
57.27044,8.620790207770979
52.473980000000005,8.517856746834852
60.4385,8.403398452411977
53.71186,8.363743631915078
57.6054,8.202942279450708
62.346399999999996,9.038856356862853
51.85454000000001,8.313298357956365
58.62856,8.637776839349348
53.09875999999999,8.122179563540811
55.11796,8.880713655917525
50.69372,8.604167743692589
62.1765,8.276042022005447
52.95836,8.636530189283194
45.91818,8.54458301426114
48.20928,8.38947475600231
49.435159999999996,8.588396600902872
53.84282,7.926346689843942
57.60982,8.33633608773063
51.15174,8.97939046775448
48.599619999999994,8.621567494116135
51.345119999999994,7.679923475243748
54.08794,8.53005385424969
51.7055,8.264893486911976
55.46058,8.725206213242185
55.81018,8.602693448426487
53.72962,8.586970085868472
50.075160000000004,8.528058054117595
53.46883999999999,8.328198956220968
53.96348,8.303567154518593
48.34154,8.263042238086406
56.80497999999999,8.444716134933135
51.255,8.706256658288911
48.42648,8.484270411154986
49.25662,8.264954614249252
50.08728,8.372715366092413
54.63714,8.686466325290164
47.248940000000005,8.946511201379003
44.42468,8.208621351822728
54.483880000000006,8.62825313407065
55.50772,8.804258197122572
44.73461999999999,8.049214573832655
54.50902000000001,8.60841388640207
56.8899,8.307087154351999
45.697559999999996,8.103068236563235
52.748740000000005,8.462140049207411
47.80008,7.575689380749451
55.810340000000004,8.92203403290976
60.63096,8.355996043464836
59.802260000000004,8.410977249547166
48.791199999999996,7.630395465505048
55.05548,8.278277403518198
55.70132000000001,8.232817079080526
50.45086,8.23965095501017
47.921440000000004,8.013832262182682
46.41644,8.375675717600343
53.31246,8.694196003564677
57.659699999999994,8.40657481439379
49.202580000000005,8.618716792168078
57.303580000000004,8.361998910762905
52.26436,8.774310331325191
49.21796,8.488862293523203
55.059839999999994,8.32408373182298
47.71417999999999,8.408750295234126
54.4743,8.23284510421519
52.55962,8.556073495219637
55.38288,8.398337484621585
48.677800000000005,8.642455250679635
55.00831999999999,8.507192014854255
51.79854,8.265780862592475
54.46948,8.420808448694222
56.33882,8.352057423629223
56.86878,8.43908214864626
47.67436,8.638410443501744
52.53474,8.050784143945235
49.30556,8.07575499172678
55.05968,8.098278082259217
52.18994,7.978475881795971
56.56222,8.395338425078528
56.53276,8.612044773594711
