sub-10159,0.088725,0.11049,0.00022184
sub-10171,0.17499,0.21475,-0.0014535
sub-10189,0.17561,0.20426,0.00092758
sub-10206,0.056503,0.064667,5.5648e-05
sub-10217,0.058243,0.062641,-0.00017076
sub-10225,0.10937,0.13827,9.9616e-06
sub-10227,0.047294,0.049674,0.00031011
sub-10228,0.12356,0.1538,0.0038375
sub-10235,0.16003,0.1766,-0.0010262
sub-10249,0.081761,0.078797,-0.001707
sub-10269,0.29206,0.33961,-0.0086502
sub-10271,0.4553,0.5525,-0.0015019
sub-10273,0.055547,0.067619,-2.9048e-05
sub-10274,0.062386,0.073346,-0.00010943
sub-10280,0.076067,0.086771,-4.3774e-05
sub-10290,0.15229,0.20124,0.00026861
sub-10292,0.090552,0.10996,-0.00035722
sub-10304,0.054134,0.061796,-1.5726e-05
sub-10316,0.18527,0.19319,-0.00061814
sub-10321,0.11379,0.1506,-0.0014216
sub-10325,0.036224,0.039435,-0.0002281
sub-10329,0.085633,0.10094,-0.001158
sub-10339,0.15576,0.19645,-0.0018157
sub-10340,0.076067,0.08638,-0.00019362
sub-10345,0.051014,0.062427,1.5395e-05
sub-10347,0.045663,0.041265,3.4111e-05
sub-10356,0.1,0.11198,0.00025414
sub-10361,0.34939,0.43422,0.00025967
sub-10365,0.056338,0.068372,0.00015373
sub-10376,0.097495,0.1272,-0.0016645
sub-10377,0.12085,0.15491,0.00031522
sub-10388,0.071738,0.073271,-0.00075627
sub-10429,0.22739,0.3336,0.00022003
sub-10438,0.11252,0.13819,0.00039782
sub-10440,0.047644,0.047543,-8.547e-05
sub-10448,0.067165,0.083479,-5.5559e-05
sub-10455,0.16566,0.13296,0.0017507
sub-10460,0.2298,0.24225,0.0036742
sub-10471,0.040275,0.046975,0.00031056
sub-10478,0.045354,0.049428,-0.00016496
sub-10487,0.088244,0.11103,0.00031067
sub-10492,0.042228,0.048877,-2.9882e-05
sub-10506,0.11957,0.14146,-0.00068576
sub-10517,0.050075,0.059282,-4.9262e-05
sub-10523,0.040051,0.042593,-0.00017112
sub-10525,0.065554,0.066205,-6.2101e-05
sub-10527,0.11471,0.13672,-0.00089659
sub-10530,0.045701,0.047065,-0.00017252
sub-10557,0.053659,0.061143,-3.5586e-05
sub-10565,0.057855,0.067075,0.00013501
sub-10570,0.15554,0.17204,-0.0013376
sub-10575,0.095019,0.12426,-0.00030821
